恒大农场	总裁办
重庆物业公司	重庆公司
贵州物业公司	重庆公司
恒大园林集团	园林集团
恒大电影公司	文化产业集团
恒大音乐公司	文化产业集团
恒大院线管理有限公司	文化产业集团
恒大院线管理公司	文化产业集团
四川物业公司	四川公司
深圳物业公司	深圳公司
国香公司	深圳公司
上海物业公司	上海公司
商业集团教育公司	商业集团
商业集团沈阳商管公司	商业集团
商业集团游乐公司	商业集团
陕西物业公司	陕西公司
乌鲁木齐物业公司	山西公司
山西物业公司	山西公司
山东物业公司	山东公司
辽宁物业公司	辽宁公司
大连公司	辽宁公司
广州恒大酒店	酒店管理集团
清远恒大酒店	酒店管理集团
重庆恒大酒店	酒店管理集团
增城恒大酒店	酒店管理集团
天津蓟县恒大酒店	酒店管理集团
南昌恒大高尔夫球会	酒店管理集团
成都彭山恒大酒店	酒店管理集团
成都金堂恒大酒店	酒店管理集团
天津东丽湖恒大酒店	酒店管理集团
启东恒大酒店	酒店管理集团
双鸭山恒大酒店	酒店管理集团
武汉恒大酒店	酒店管理集团
北京大三元酒家	酒店管理集团
加拿大费尔蒙酒店	酒店管理集团
南京溧水恒大酒店	酒店管理集团
成都瑞吉酒店	酒店管理集团
杭州法云安缦酒店	酒店管理集团
丽江大研安缦酒店	酒店管理集团
恒大人寿湖北分公司	金融集团
恒大人寿四川分公司	金融集团
恒大人寿重庆分公司	金融集团
恒大人寿总部	金融集团
恒大金融集团	金融集团
江西物业公司	江西公司
江苏物业公司	江苏公司
健康产业研究中心	健康产业研究中心
吉林物业公司	吉林公司
湖南物业公司	湖南公司
湖北物业公司	湖北公司
恒大乳业集团	恒大农牧集团
矿泉水集团	恒大农牧集团
恒大粮油集团	恒大农牧集团
海花岛物业公司	恒大海花岛产业集团
黑龙江物业公司	黑龙江公司
河南物业公司	河南公司
海南物业公司	海南公司
昆明物业公司	广西公司
广西物业公司	广西公司
广东物业公司	广东公司
东莞物业公司	广东公司
甘肃物业公司	甘肃公司
宁夏物业公司	甘肃公司
银川公司	甘肃公司
福建物业公司	福建公司
华南师大附小恒大南海学校	不计
香港公司	不计
天津物业公司	北京公司
石家庄物业公司	北京公司
内蒙古物业公司	北京公司
北京物业公司	北京公司
北京公司	北京公司
内蒙古公司	北京公司
天津公司	北京公司
乌鲁木齐公司	北京公司
安徽物业公司	安徽公司
恒大人寿陕西分公司	金融集团
恒大人寿湖南分公司	金融集团
商业集团宁波商管公司	商业集团
商业集团合肥商管公司	商业集团
商业管理中心	商业集团
大三元酒家	酒店管理集团
